company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal
Novo Nordisk,Jefferies,2012-11-06 16:43:00,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Natixis,2013-02-11 13:24:29,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Kepler Cheuvreux,2013-02-11 13:26:31,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Nomura,2013-02-12 13:14:05,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2013-03-18 13:12:55,Underweight,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Swedbank,2013-04-16 12:48:07,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Natixis,2013-05-24 11:54:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Handelsbanken,2013-06-11 12:01:51,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2013-06-17 11:43:34,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Exane BNP Paribas,2013-06-19 11:24:38,Underperform,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Baader Helvea,2013-06-24 13:04:50,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Swedbank,2013-09-06 11:39:03,Buy,Strong Buy,down,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Barclays,2013-09-16 11:43:25,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Swedbank,2013-11-01 11:17:30,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Swedbank,2014-01-31 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2014-02-24 13:00:00,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2014-02-25 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Commerzbank,2015-01-28 17:35:27,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novonesis,Jefferies,2015-08-07 15:00:00,Hold,,main,44.45,45.5,NSIS-B.CO,yahoo,0
Novo Nordisk,Leerink Swann,2015-08-28 10:24:50,Market Perform,,init,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Jyske Bank,2015-10-19 09:21:28,Strong Buy,Buy,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Oddo Securities,2016-01-26 13:56:42,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,UBS,2016-02-08 10:39:32,Sell,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Goldman Sachs,2016-02-15 13:02:36,Buy,,main,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2016-08-08 11:18:01,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,HSBC,2016-08-31 10:31:19,Hold,Reduce,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,JP Morgan,2016-09-09 10:25:55,Neutral,Outperform,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Deutsche Bank,2016-09-12 10:01:07,Buy,Hold,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Exane BNP Paribas,2016-09-14 08:54:27,Outperform,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Piper Sandler,2016-09-23 10:46:04,Neutral,,init,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,B of A Securities,2016-10-28 04:00:00,Underperform,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Citigroup,2016-10-31 04:00:00,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,UBS,2016-12-06 16:42:12,Buy,Sell,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2017-09-06 10:47:15,Neutral,Underperform,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Morgan Stanley,2017-12-01 11:15:06,Overweight,Equal-Weight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2017-12-06 14:50:05,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2017-12-29 11:38:36,Neutral,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,B of A Securities,2018-10-08 10:57:36,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,JP Morgan,2018-11-19 11:25:33,Overweight,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Morgan Stanley,2018-12-14 14:58:16,Equal-Weight,,init,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Exane BNP Paribas,2019-01-29 15:03:19,Outperform,,init,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Credit Suisse,2019-04-29 12:56:38,Outperform,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Barclays,2019-06-11 10:45:27,Equal-Weight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Deutsche Bank,2019-06-20 10:46:35,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Genmab,Morgan Stanley,2019-08-12 10:32:26,Overweight,,init,0.0,0.0,GMAB.CO,yahoo,1
Genmab,Guggenheim,2019-08-12 11:25:00,Buy,,init,0.0,0.0,GMAB.CO,yahoo,1
Genmab,RBC Capital,2019-08-12 11:25:23,Outperform,,init,23.0,0.0,GMAB.CO,yahoo,1
Novo Nordisk,Jefferies,2019-08-30 10:32:59,Underperform,Hold,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Genmab,JP Morgan,2019-09-12 11:51:03,Overweight,Neutral,up,0.0,23.0,GMAB.CO,yahoo,1
Novo Nordisk,B of A Securities,2019-09-13 12:01:33,Neutral,,reit,400.0,355.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Citigroup,2019-09-17 10:37:26,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Genmab,HC Wainwright & Co.,2019-10-16 11:43:26,Buy,,main,25.0,24.0,GMAB.CO,yahoo,1
Novo Nordisk,Barclays,2019-11-18 11:10:38,Overweight,Equal-Weight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,UBS,2019-11-18 15:40:50,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Guggenheim,2020-01-03 11:40:31,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Genmab,SunTrust Robinson Humphrey,2020-01-13 13:50:24,Buy,,init,28.0,0.0,GMAB.CO,yahoo,1
Novo Nordisk,B of A Securities,2020-01-17 13:44:39,Neutral,,reit,440.0,420.0,NOVO-B.CO,yahoo,0
Genmab,Morgan Stanley,2020-02-20 13:08:11,Overweight,,main,31.0,30.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-02-24 12:11:37,Buy,,main,29.0,25.0,GMAB.CO,yahoo,1
Carlsberg,Goldman Sachs,2020-02-26 10:00:17,Sell,,init,0.0,0.0,CARL-B.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2020-04-15 11:14:46,Buy,,reit,28.0,29.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2020-04-15 13:52:01,Overweight,,main,30.0,31.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-05-07 12:56:01,Buy,,main,29.0,28.0,GMAB.CO,yahoo,1
Genmab,SunTrust Robinson Humphrey,2020-05-07 16:00:53,Buy,,main,30.0,28.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-06-01 10:52:35,Buy,,main,34.0,29.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-06-11 10:05:06,Buy,,main,40.0,34.0,GMAB.CO,yahoo,1
Genmab,SunTrust Robinson Humphrey,2020-06-11 12:31:23,Buy,,main,39.0,36.0,GMAB.CO,yahoo,1
Genmab,RBC Capital,2020-06-19 11:29:10,Outperform,,main,35.0,27.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2020-08-13 12:14:49,Overweight,,main,32.0,30.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-08-21 10:42:32,Buy,,main,41.0,40.0,GMAB.CO,yahoo,1
Genmab,Truist Securities,2020-08-24 14:33:44,Buy,Buy,main,41.0,39.0,GMAB.CO,yahoo,1
Genmab,SVB Leerink,2020-09-08 11:01:41,Market Perform,,init,35.0,0.0,GMAB.CO,yahoo,0
Genmab,Bryan Garnier,2020-09-23 09:45:07,Sell,Neutral,down,0.0,0.0,GMAB.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2020-09-23 11:04:04,Buy,,main,42.0,41.0,GMAB.CO,yahoo,1
Maersk,Goldman Sachs,2020-09-29 09:29:42,Buy,Neutral,up,0.0,0.0,MAERSK-B.CO,yahoo,1
Genmab,Morgan Stanley,2020-10-13 13:29:04,Overweight,,main,35.0,32.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-11-05 11:12:08,Buy,,main,45.0,42.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2020-11-05 13:12:05,Overweight,,main,37.0,35.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2020-11-25 11:12:07,Buy,,main,44.0,45.0,GMAB.CO,yahoo,1
Genmab,SVB Leerink,2020-12-09 09:53:04,Market Perform,,main,34.0,36.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2020-12-16 17:41:44,Overweight,,main,41.0,37.0,GMAB.CO,yahoo,1
Novo Nordisk,Deutsche Bank,2021-01-15 12:37:14,Buy,,init,0.0,0.0,NOVO-B.CO,yahoo,1
Genmab,HC Wainwright & Co.,2021-01-15 14:24:02,Buy,,main,49.0,44.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2021-01-19 12:00:47,Equal-Weight,Overweight,down,41.0,0.0,GMAB.CO,yahoo,0
Genmab,SVB Leerink,2021-01-26 14:09:32,Market Perform,,main,38.0,34.0,GMAB.CO,yahoo,0
Genmab,SVB Leerink,2021-02-24 10:26:18,Market Perform,,main,36.0,38.0,GMAB.CO,yahoo,0
Vestas,UBS,2021-02-25 10:53:43,Buy,Neutral,up,0.0,0.0,VWS.CO,yahoo,1
Genmab,Truist Securities,2021-02-25 15:27:58,Buy,Buy,main,47.0,42.0,GMAB.CO,yahoo,1
Vestas,Bernstein,2021-03-25 10:10:42,Outperform,,init,0.0,0.0,VWS.CO,yahoo,1
Genmab,Morgan Stanley,2021-04-19 14:36:50,Equal-Weight,,main,37.0,41.0,GMAB.CO,yahoo,0
Genmab,SVB Leerink,2021-08-12 08:41:29,Market Perform,,main,42.0,37.0,GMAB.CO,yahoo,0
Genmab,Truist Securities,2021-08-12 13:39:55,Buy,Buy,main,50.0,47.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2021-08-24 11:07:47,Neutral,Buy,down,0.0,0.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2021-09-07 10:08:51,Underweight,Equal-Weight,down,37.0,0.0,GMAB.CO,yahoo,-1
Genmab,Jefferies,2021-09-16 12:10:27,Hold,Buy,down,0.0,0.0,GMAB.CO,yahoo,0
Genmab,Berenberg,2021-12-01 11:14:29,Sell,,init,0.0,0.0,GMAB.CO,yahoo,-1
Novo Nordisk,JP Morgan,2021-12-20 13:40:27,Neutral,Overweight,down,0.0,0.0,NOVO-B.CO,yahoo,0
Genmab,Guggenheim,2022-01-03 15:04:17,Neutral,Buy,down,0.0,0.0,GMAB.CO,yahoo,0
Novo Nordisk,Liberum,2022-01-25 13:28:56,Sell,Hold,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2022-01-31 11:48:45,Buy,Neutral,up,47.0,0.0,GMAB.CO,yahoo,1
Genmab,SVB Leerink,2022-02-17 09:51:19,Market Perform,,main,39.0,42.0,GMAB.CO,yahoo,0
Novo Nordisk,Deutsche Bank,2022-03-16 10:19:28,Buy,Hold,up,0.0,0.0,NOVO-B.CO,yahoo,1
Genmab,Morgan Stanley,2022-04-12 13:45:17,Underweight,,main,30.0,33.0,GMAB.CO,yahoo,-1
Genmab,Cowen & Co.,2022-05-02 12:40:14,Market Perform,,init,38.0,0.0,GMAB.CO,yahoo,0
Genmab,SVB Leerink,2022-05-12 08:41:01,Market Perform,,main,30.0,39.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2022-05-17 11:52:37,Underweight,,main,29.0,30.0,GMAB.CO,yahoo,-1
Novo Nordisk,Guggenheim,2022-05-31 12:08:40,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2022-06-07 09:00:28,Overweight,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Genmab,BMO Capital,2022-06-24 09:05:26,Market Perform,,init,34.73,0.0,GMAB.CO,yahoo,0
Novo Nordisk,UBS,2022-06-28 10:13:49,Sell,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2022-07-20 10:12:27,Buy,,main,49.0,47.0,GMAB.CO,yahoo,1
Genmab,SVB Leerink,2022-08-11 09:25:33,Market Perform,,main,31.0,30.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2022-08-15 12:14:49,Underweight,,main,31.0,29.0,GMAB.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2022-08-22 10:17:21,Buy,,main,51.0,49.0,GMAB.CO,yahoo,1
Genmab,SVB Leerink,2022-11-10 08:49:55,Market Perform,,main,33.0,31.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2022-11-14 13:41:27,Underweight,,main,34.0,31.0,GMAB.CO,yahoo,-1
Genmab,William Blair,2022-11-14 14:52:58,Market Perform,,init,0.0,0.0,GMAB.CO,yahoo,0
Novo Nordisk,TD Cowen,2022-12-12 15:39:08,Outperform,,main,145.0,130.0,NOVO-B.CO,yahoo,1
Genmab,Morgan Stanley,2023-01-24 13:51:24,Underweight,,main,35.0,34.0,GMAB.CO,yahoo,-1
Genmab,SVB Leerink,2023-02-06 09:02:10,Market Perform,,main,36.0,33.0,GMAB.CO,yahoo,0
Genmab,Morgan Stanley,2023-02-23 13:26:38,Underweight,,main,34.0,35.0,GMAB.CO,yahoo,-1
Genmab,Morgan Stanley,2023-03-01 13:13:26,Underweight,,main,33.0,34.0,GMAB.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2023-03-02 11:12:05,Buy,,main,46.0,51.0,GMAB.CO,yahoo,1
Novo Nordisk,BTIG,2023-03-28 14:37:16,Buy,,main,31.0,20.0,NOVO-B.CO,yahoo,1
Genmab,HC Wainwright & Co.,2023-04-20 12:39:15,Buy,,reit,46.0,0.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2023-05-16 10:35:17,Buy,Buy,main,47.0,46.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2023-05-22 10:11:55,Buy,Buy,main,51.0,47.0,GMAB.CO,yahoo,1
Genmab,HC Wainwright & Co.,2023-06-06 10:22:29,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2023-06-12 13:56:39,Underweight,,reit,33.0,0.0,GMAB.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2023-06-14 10:19:47,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2023-06-20 13:04:43,Underweight,,reit,33.0,0.0,GMAB.CO,yahoo,-1
Genmab,HC Wainwright & Co.,2023-06-26 10:18:45,Buy,Buy,reit,51.0,0.0,GMAB.CO,yahoo,1
Genmab,Morgan Stanley,2023-06-26 13:24:59,Underweight,Underweight,reit,33.0,33.0,GMAB.CO,yahoo,-1
